Title,Authors,Year,Keywords,Abstract,URL
Entrepreneurship education's impact on South Africa's economic growth and development,"IB Omoniyi, GT Bongani - Academy of Entrepreneurship …, 2022 - search.proquest.com",2022 - search.proquest.com,,"… As a result, it was suggested that entrepreneurship education in … on how to provide 
entrepreneurship education is required. … in the entrepreneurship education process is the …",https://search.proquest.com/openview/e7edbea6704325bc83a125c580ef369c/1?pq-origsite=gscholar&cbl=29726
Distance and online entrepreneurship education in India,"AK Dwivedi - Available at SSRN 2992018, 2017 - papers.ssrn.com",2017 - papers.ssrn.com,,"… to deliver education to students who are not physically on site"". Distance Education “is a 
process to create and provide … and online programmes on Entrepreneurship it is discouraging. …",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2992018
[PDF][PDF] A Guide for Educators,"E Education - European Commission–DG Enterprise & …, 2013 - diariodellaformazione.it",2013 - diariodellaformazione.it,,"… The alumni may also contribute to actual delivery in the classroom and assessment of the 
new student teachers. This is known as the ‘Continuous Conceptual Review Model’ – allowing …",https://www.diariodellaformazione.it/wp-content/uploads/2013/11/k2_attachments_entredu-manual-fv_en.pdf
"Powerpoint presentation as an alternative to traditional approach to teaching business education courses in tertiary institutions: benefits, challenges and solutions","EB Azuka - Nigerian Journal of Business Education (NIGJBED), 2018 - nigjbed.com.ng",2018 - nigjbed.com.ng,,"… The findings of this study provide conclusive evidence of several … In a study they found that 
sixty-seven percent of the 384 students … From this study it was concluded that PowerPoint …",http://www.nigjbed.com.ng/index.php/nigjbed/article/view/42
Entrepreneurship as a career option for information technology students: Critical barriers and the role of motivation,"I Sitaridis, F Kitsios - Journal of the Knowledge Economy, 2019 - Springer",2019 - Springer,,"… Entrepreneurship education should stimulate the desire for … This finding points out the 
responsibility of contemporary education in IT-related faculties to provide students with the means …",https://link.springer.com/article/10.1007/s13132-018-0519-z
[CITATION][C] Implementation of entrepreneurship education for selfreliance in public secondary schools in Rivers State,"BW Dike, OJ Effanga - International Journal of Institutional Leadership, Policy …, 2020",2020,,,
Evaluation of a blended learning approach for cross-cultural entrepreneurial education,"I Stefanic, RK Campbell, JS Russ… - Innovations in education …, 2020 - Taylor & Francis",2020 - Taylor & Francis,,"… employment or self-employment, it is important to acquire skills necessary for effective 
teamwork. To prepare students properly, educators who deliver such courses outline a rationale …",https://www.tandfonline.com/doi/abs/10.1080/14703297.2019.1568901
Blended learning and learning communities: opportunities and challenges,"J Fleck - Journal of Management Development, 2012 - emerald.com",2012 - emerald.com,,"… It also included, vitally, tutor support for students, delivered through tutorial meetings and … 
A leading example in the Business School world is Laureate, who provide dedicated tutors and …",https://www.emerald.com/insight/content/doi/10.1108/02621711211219059/full/html
Entrepreneurship education at tertiary institutions in Rwanda: a situation analysis,R Niyonkuru - 2005 - etd.uwc.ac.za,R Niyonkuru - 2005 - etd.uwc.ac.za,,"… developed to prepare students for entrepreneurship as a career … entrepreneurship education 
as used in this thesis, it is essential to provide an admissible definition of entrepreneurship …",https://etd.uwc.ac.za/handle/11394/1637
"Holistic Integrated Student Development Model & Service Delivery Model–A Best Practice of Srinivas University, India.","PS Aithal, AK Maiya - … Case Studies in Business, IT, and Education …, 2022 - papers.ssrn.com",2022 - papers.ssrn.com,,"… , and postcourse service of part time PG students of a UK business school. … , it is found that 
a gap in the efforts of a systematic policy of higher education service delivery to every student. …",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4161044
[PDF][PDF] The right stuff: Defining and influenceing the entrepreneurial mindset,"PB Robinson, V Gough - Journal of Entrepreneurship Education, 2020 - researchgate.net",2020 - researchgate.net,,"… of entrepreneurial mindset attributes and then provide both … It has also been used for over 
20 years in entrepreneurship … ranging from high school students to postgraduate students and …",https://www.researchgate.net/profile/Peter-Robinson-6/publication/350530980_THE_RIGHT_STUFF_DEFINING_AND_INFLUENCEING_THE_ENTREPRENEURIAL_MINDSET/links/6064fe71458515614d2725c2/THE-RIGHT-STUFF-DEFINING-AND-INFLUENCEING-THE-ENTREPRENEURIAL-MINDSET.pdf
Entrepreneurship education for further education and training college lecturers,"M Motsoeneng, S Mahlomaholo - … and Entrepreneurship: ICIE, 2015 - books.google.com",2015 - books.google.com,,"… YES centres provide practical services supporting EE for … part of the syllabus for 
entrepreneurship student. During the interaction … information about the business idea, again …",https://books.google.com/books?hl=en&lr=&id=-RB2BwAAQBAJ&oi=fnd&pg=PA120&dq=deliver+entrepreneurship+education+to+ict+students&ots=Mkd2yjzOKw&sig=WLBl6LJRYWePt5vgYltuxBNJMZs
[PDF][PDF] Information and Communication Technology (ICT): An indispensable tool for functional Entrepreneurship Education,"RE UBOGU - Faculty of Education, DELSU proceedings of the …, 2011 - researchgate.net",2011 - researchgate.net,,"… empowerment of indigenous entrepreneurs to spur corporate … capital, provide sustainable 
employment and deliver good … ’s educational system and giving students a better education. …",https://www.researchgate.net/profile/Rowel-Ubogu/publication/361614153_Theme_ICT_and_Educational_Development_in_Africa_286_INFORMATION_AND_COMMUNICATION_TECHNOLOGY_ICT_AN_INDISPENSABLE_TOOL_FOR_FUNCTIONAL_ENTREPRENEURSHIP_EDUCATION/links/62bc6e805e258e67e10f5d8b/Theme-ICT-and-Educational-Development-in-Africa-286-INFORMATION-AND-COMMUNICATION-TECHNOLOGY-ICT-AN-INDISPENSABLE-TOOL-FOR-FUNCTIONAL-ENTREPRENEURSHIP-EDUCATION.pdf
"e-Learning in business and entrepreneurship: Evidence from Serbia, Iran, and India","M Radovic Markovic, A Salamzadeh… - … and Entrepreneurship, 2012 - papers.ssrn.com",2012 - papers.ssrn.com,,"… hand, has made the UT offer virtual learning as a new way for delivering entrepreneurship … 
elearning technology to entrepreneurship education. However, it is important to determine if e-…",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2203718
The impact of entrepreneurship education on entrepreneurship skills and motivation,"H Oosterbeek, M Van Praag, A Ijsselstein - European economic review, 2010 - Elsevier",2010 - Elsevier,,"… analyzes the impact of a leading entrepreneurship education program on college students’ 
… vocational education provide more practically oriented programs and the Bachelor degree it …",https://www.sciencedirect.com/science/article/pii/S0014292109000932
"In pursuit of a new 'enterprise'and 'entrepreneurship'paradigm for learning: creative destruction, new values, new ways of doing things and new combinations of …","A Gibb - International journal of management reviews, 2002 - Wiley Online Library",2002 - Wiley Online Library,,"… It will be argued in this paper that the time has come to discard the traditional business 
school … needed to provide a more adequate response; thirdly, by demonstrating that existing …",https://onlinelibrary.wiley.com/doi/abs/10.1111/1468-2370.00086
THE IMPACT OF ENTREPRENEURSHIP EDUCATION IN HIGHER EDUCATION ON THE GROWTH OF STARTUP COMPANIES,"I Zulfikar - … and Development Journal of Education, 2022 - journal.lppmunindra.ac.id",2022 - journal.lppmunindra.ac.id,,"… that provide entrepreneurship education programs for students … The results of this research 
can provide insight into the … success of their business idea and develop it into a concept that …",https://journal.lppmunindra.ac.id/index.php/RDJE/article/view/16554
Examining the formation of human capital in entrepreneurship: A meta-analysis of entrepreneurship education outcomes,"BC Martin, JJ McNally, MJ Kay - Journal of business venturing, 2013 - Elsevier",2013 - Elsevier,,"… assets it creates and the entrepreneurial outcomes to which it … attitudes toward 
entrepreneurship among students who attend … Finally, we provide recommendations to future …",https://www.sciencedirect.com/science/article/pii/S0883902612000602
"Exploring the role of Entrepreneurial Education, Technology and Teachers' Creativity in excelling Sustainable Business Competencies","JJ Tu, S Akhter - Economic Research-Ekonomska Istraživanja, 2022 - Taylor & Francis",2022 - Taylor & Francis,,"… Moreover, it is extremely difficult to cater all of the Entrepreneurial … of the entrepreneurship 
which is being delivered to transform … Entrepreneurial Education is being given to the students …",https://www.tandfonline.com/doi/abs/10.1080/1331677X.2022.2119429
[PDF][PDF] Assessment of ICT Skill Needs of Business Education Students for On-Line Entrepreneurship Businesses Development in Rivers State,"UN Anireh, EA Amadi - … Journal of Innovative Information Systems & …, 2020 - seahipaj.org",2020 - seahipaj.org,,"… system must develop the capacity to direct and provide relevant answers to such 
expectations that will lead to the desired future. The concept of 21st century learning and skill …",https://seahipaj.org/journals-ci/mar-2020/IJIISTR/full/IJIISTR-M-10-2020.pdf
"Assessment Of Entrepreneurship Education As A Tool For Self-Reliance In Colleges Of Education In Adamawa State, Nigeria","A USMAN, K Thomas, I Gambo - … Journal of Entrepreneurship …, 2022 - journal.adpebi.com",2022 - journal.adpebi.com,,"… score =2.63) it was concluded that education focuses on the … ship after graduation in 
entrepreneurship course as students’ industrial work experience scheme programme for all students …",https://journal.adpebi.com/index.php/IJEBM/article/view/117
Role of ICT enabled Cloud Learning Management System tools in Fostering Entrepreneurship Amongst Youth,"V Aggarwal, S Dash, PD Yadav… - 2022 2nd International …, 2022 - ieeexplore.ieee.org",2022 - ieeexplore.ieee.org,,"… the entrepreneurship education and foster the entrepreneurship … systems are under pressure 
to deliver broad literacy at the … intentions of learners? And does technology adoption or use …",https://ieeexplore.ieee.org/abstract/document/9754158/
Distributed student team work in challenge-based innovation and entrepreneurship (i&e) course,"G Pisoni, J Segovia, M Stoycheva… - … Technologies for Education …, 2020 - Springer",2020 - Springer,,"… Recently, also entrepreneurship education is growing on popularity and universities use … 
network of High Educational Institutions works together to provide cutting-edge ICT education in …",https://link.springer.com/chapter/10.1007/978-3-030-38778-5_18
[HTML][HTML] Random Matrix Model for the Ecological Model of Innovation and Entrepreneurship Education for College Students,"F Yang - Mathematical Problems in Engineering, 2022 - hindawi.com",2022 - hindawi.com,,"… , it analyzes the ecological role relationship of the various elements of entrepreneurship 
education … on the setting of entrepreneurship courses, the entrepreneurship education led by the …",https://www.hindawi.com/journals/mpe/2022/2103614/
Entrepreneurship Education in Vocational High School: Does it Really Work?,"T Kurniawati, T Abeng - Unima International Conference on …, 2023 - atlantis-press.com",2023 - atlantis-press.com,,"… ship learning in vocational school will be analyzed using SEEQ (… provide quality assurance 
for students and graduates. Overall, students’ assessments of entrepreneurship education …",https://www.atlantis-press.com/proceedings/unicssh-22/125983882
Construction of Local Undergraduate Entrepreneurship Education System Based on Collaborative Innovation,"W Wei, L Hong - Forest Chemicals Review, 2021 - forestchemicalsreview.com",2021 - forestchemicalsreview.com,,"… , and the content of entrepreneurship education for students becomes a mere formality. … 
the field of entrepreneurship education makes it difficult to provide sustained intellectual support …",http://www.forestchemicalsreview.com/index.php/JFCR/article/view/326
A patent-based model of entrepreneurship education in Brazil,"GMC Cavalheiro, MB Cavalheiro, S Mariano - Education+ Training, 2020 - emerald.com",2020 - emerald.com,,"… that it is hard to provide a very accurate estimate, but it is … We provide empirical evidence of 
the results observed on how … to help undergraduate business students understanding the role …",https://www.emerald.com/insight/content/doi/10.1108/ET-07-2019-0164/full/html
Analysis of the demand characteristics of College Students' Innovative Entrepreneurship Education,"Q Li - 3rd Annual International Conference on Social Science …, 2017 - atlantis-press.com",2017 - atlantis-press.com,,"… According to the survey of college students ' educational demand, it can provide reference 
for the development of innovation and entrepreneurship education reform in colleges and …",https://www.atlantis-press.com/proceedings/sschd-17/25884706
Investigating technology integration in business education in Nigeria secondary schools: a critical analysis.,AC Chidiebere - 2020 - ukzn-dspace.ukzn.ac.za,AC Chidiebere - 2020 - ukzn-dspace.ukzn.ac.za,,"… educational delivery systems. The teaching of Business Education entails teaching learners 
… of the study was to compare course delivery via ICT with delivery via ‘traditional’ lectures. …",https://ukzn-dspace.ukzn.ac.za/handle/10413/19587
Factors affecting entrepreneurial intention levels: a role for education,"F Liñán, JC Rodríguez-Cohard… - … entrepreneurship and …, 2011 - Springer",2011 - Springer,,"… it on a representative sample of final-year university students… institutional framework will 
also directly provide a greater … for a wider entrepreneurship education programme, including …",https://link.springer.com/article/10.1007/s11365-010-0154-z
STUDENTS ASSESSMENT OF BUSINESS TEACHER EDUCATION LECTURERS ON INSTRUCTIONAL DELIVERY PRACTICES IN EDO AND DELTA STATES,"J Okoro, TP Zagbamu - Nigerian Journal of Business Education  …, 2021 - nigjbed.com.ng",2021 - nigjbed.com.ng,,"… to final year Business education students of the Niger Delta … The findings are Business 
education lecturers give prompt … of the student after a period of instruction, it is inferred that the …",http://www.nigjbed.com.ng/index.php/nigjbed/article/view/520
Implementation of a digital workplace strategy to drive behavior change and improve competencies,"I Hamburg - Strategy and Behaviors in the Digital Economy, 2019 - books.google.com",2019 - books.google.com,,"… entrepreneurs and of entrepreneurship education and how it … The digital workplace initiative 
will provide staff with the right IT … career, it is necessary that students understand what means …",https://books.google.com/books?hl=en&lr=&id=6hb9DwAAQBAJ&oi=fnd&pg=PA19&dq=deliver+entrepreneurship+education+to+ict+students&ots=Lh32J_VZtd&sig=lETvAZoQ6JbKq04rI-6UhE2XM70
In search of success factors for a sustainable macro entrepreneurship and enterprise education policy: Evidence from the European Union,"SM Mukhtar, J Redman - Journal for Global Business …, 2015 - inderscienceonline.com",2015 - inderscienceonline.com,,"… However, it is not the purpose of this paper to present an … ’ for effective entrepreneurship 
education delivery. In case of EU… on the attitude to work of our student population in Key Stage 4. …",https://www.inderscienceonline.com/doi/abs/10.1504/JGBA.2015.067268
[BOOK][B] Management Education and Development: Drift or Thrust into the 21st Century?.,"LW Porter, LE McKibbin - 1988 - ERIC",LE McKibbin - 1988 - ERIC,,"… It surveys management education as traditionally provided by colleges and universities and 
also as delivered … , scholarship and research, business school relations, and accreditation in …",https://eric.ed.gov/?id=ed301072
New trends in technology management education: A view from Europe,"B Clarysse, S Mosey, I Lambrecht - … Learning & Education, 2009 - journals.aom.org",2009 - journals.aom.org,,"… is meeting those sorts of people I think that gave the students inspiration.”—… it is no longer 
sufficient to provide a general MBA education in isolation. More is needed. Business education …",https://journals.aom.org/doi/abs/10.5465/amle.8.3.zqr427
[PDF][PDF] … of entrepreneurial curriculum on entrepreneurial competencies among students: The mediating role of the campus learning environment in higher education,"J Iqbal, MZ Asghar, A Asghar, Y Waqar - Frontiers in Psychology, 2022 - frontiersin.org",2022 - frontiersin.org,,"… The study explored that effective entrepreneurial curriculum delivery and campus learning … 
of competencies across a wide range of entrepreneurial education. It is assumed that there is …",https://www.frontiersin.org/articles/10.3389/fpsyg.2022.950440/pdf
Growth strategy of a rural business school: sustainable implementation of online studies,"BA Bertheussen - Sustainability, 2020 - mdpi.com",2020 - mdpi.com,,"… processes so that it is able to deliver value to students on a digital … student is very low [50]. 
The value creation potential of the institution is significant if it succeeds in raising the student …",https://www.mdpi.com/755758
"[PDF][PDF] Business studies curriculum content delivery at Junior Secondary Schools in Lagos, Nigeria","OA Akintola, OE Alao - Delta Business Education Journal. 5 (1) …, 2015 - researchgate.net",2015 - researchgate.net,,"… the delivery of Business Studies at the junior secondary school … It means that the students 
are placed at the centre and the … engaging the students in experiences that provide them with …",https://www.researchgate.net/profile/Olugbenga-Akintola/publication/342947439_BUSINESS_STUDIES_CURRICULUM_CONTENT_DELIVERY_AT_JUNIOR_SECONDARY_SCHOOLS_IN_LAGOS_NIGERIA/links/5f0eef16299bf1e548b70adf/BUSINESS-STUDIES-CURRICULUM-CONTENT-DELIVERY-AT-JUNIOR-SECONDARY-SCHOOLS-IN-LAGOS-NIGERIA.pdf
[PDF][PDF] Management of educational organization: the effectiveness of soft skill on rejuvenating education curriculum,"FA Ogedengbe - Journal of Logistics, Informatics and Service Science, 2021 - aasmr.org",2021 - aasmr.org,,"… of business education on which it intends to give instruction. … business education curriculum 
for effective services delivery in Ghana. … aim of business education is to provide learners with …",http://www.aasmr.org/liss/Vol.6/Vol.6.1.2.pdf
[PDF][PDF] Practical methods in entrepreneurship education: A study with STEM students,B Hammoda - researchgate.net,B Hammoda - researchgate.net,,"… what is being delivered, to how it is delivered and using … students to do things as part of 
the entrepreneurial learning process and not to concentrate solely on the content they deliver …",https://www.researchgate.net/profile/Basel-Hammoda/publication/360836226_Practical_methods_in_entrepreneurship_education_A_study_with_STEM_students/links/628deca76daa0406c611c2ad/Practical-methods-in-entrepreneurship-education-A-study-with-STEM-students.pdf
Learning outcomes from business simulation exercises: Challenges for the implementation of learning technologies,"E Clarke - Education+ training, 2009 - emerald.com",2009 - emerald.com,,"… the capacity of business simulations to deliver the learning … Traditionally, postgraduate 
business education programs … and not objective assessments, it measures the affective not …",https://www.emerald.com/insight/content/doi/10.1108/00400910910987246/full/html
[PDF][PDF] Integrating Entrepreneurship into the Teaching of IT,"AB Shaikh, M Sarim, SK Raffat, M Siddiq… - Research Journal of …, 2014 - academia.edu",2014 - academia.edu,,"… the students learn what is being taught, there has been a refocus on entrepreneurship 
education. … In addition, it would be more efficient in delivering to the students the skills required. …",https://www.academia.edu/download/78145838/Integrating_Entrepreneurship_into_the_Te20220105-7624-f26g45.pdf
[PDF][PDF] Enterprise Education,"D Stamatis, B Hansson, TA Hjeltnes… - … for Entrepreneurship … - researchgate.net",TA Hjeltnes… - … for Entrepreneurship … - researchgate.net,,"… -Learning course for Entrepreneurship Education, aiming to young ICT professionals willing 
… could guide students to act as entrepreneurs from the very beginning of the delivery of the …",https://www.researchgate.net/profile/Radostin-Vazov/publication/335465046_Innovation_leadership_as_a_key_concept_in_entrepreneurship_The_8th_International_Conference_for_Entrepreneurship_Innovation_and_Regional_Development_University_of_Sheffield/links/5d6790c8a6fdccf343fbd55d/Innovation-leadership-as-a-key-concept-in-entrepreneurship-The-8th-International-Conference-for-Entrepreneurship-Innovation-and-Regional-Development-University-of-Sheffield.pdf#page=704
E-learning: The cornerstone to transferring entrepreneurship knowledge,"C Hegarty - Information technology entrepreneurship and …, 2008 - igi-global.com",2008 - igi-global.com,,"… provide preparatory entrepreneurship education. The objective of enterprise training or 
entrepreneurial learning as it … is largely to provide continual entrepreneurial learning(Garavan & O…",https://www.igi-global.com/chapter/information-technology-entrepreneurship-innovation/23645
Youth programmes and entrepreneurship education at the higher school level in sub-Saharan Africa,"TM Obamuyi, GO Iriobe, TS Afolabi - Enterprising Africa, 2020 - taylorfrancis.com",2020 - taylorfrancis.com,,"… and helps identify and monitor students’ progress through entrepreneurship education. … to 
deliver in the area of entrepreneurship education It has been established that the essence of …",https://www.taylorfrancis.com/chapters/edit/10.4324/9780429427725-14/youth-programmes-entrepreneurship-education-higher-school-level-sub-saharan-africa-tomola-obamuyi-grace-iriobe-taofeek-afolabi
Entrepreneurship as the unsung hero during the current COVID-19 economic crisis: Australian perspectives,"A Maritz, A Perenyi, G De Waal, C Buck - Sustainability, 2020 - mdpi.com",2020 - mdpi.com,,"… This paper aims to provide entrepreneurship insights, … now is for the provision of 
Entrepreneurship Education (EE). A … It seems likely that post Covid-19 entrepreneurs will shape a …",https://www.mdpi.com/735204
[PDF][PDF] Let's Start Talking: University Accelerators and Their Strategic Intent Alignment with Entrepreneurship Education in Indonesia.,"A Maritz, S Arisian, E Ardyan… - … : Manajemen Ide dan …, 2023 - journal3.uin-alauddin.ac.id",2023 - journal3.uin-alauddin.ac.id,,"… -effort of students' nascent startups rather than educational impacts. … in broader entrepreneurial 
ecosystems may deliver a better … , it has been shown that only two accelerators provide …",https://journal3.uin-alauddin.ac.id/index.php/minds/article/view/32949/16891
[PDF][PDF] Establishment of Institutional Business Centres: A Veritable Tool in Teaching and Learning Business Education Skills,"JO Oduh, RN Ofodile - Journal of Resourcefulness and …, 2017 - globalacademicgroup.com",2017 - globalacademicgroup.com,,"… business education should be given priority attention by government in her budgetary allocation 
since it provide … Consequently, it becomes imperative that business education students …",https://www.globalacademicgroup.com/journals/resourcefulness/Justina%20Oduh.pdf
Teachers' practices of entrepreneurship education in cooperation with companies,K Sommarström - 2022 - lutpub.lut.fi,K Sommarström - 2022 - lutpub.lut.fi,,"… , it can be argued that it is difficult for teachers to implement entrepreneurship education if 
they … schools provide students with entrepreneurship education (Finnish National Agency for …",https://lutpub.lut.fi/handle/10024/163763
"[PDF][PDF] Developing an entrepreneurship education eco-system at University Kebangsaan Malaysia (UKM): A critical analysis on teaching, learning and knowledge …","M Berma, R Shamshubaridah, S Faridah… - Proceedings of the …, 2012 - academia.edu",2012 - academia.edu,,"… To be effective, entrepreneurship education needs to be innovative and it needs to operate in 
an … as the curriculum has to provide stand-alone courses that can educate the students with …",https://www.academia.edu/download/31030546/P_P-2012-Madeline-final.pdf
[PDF][PDF] Issues and trends in the application of e-learning technologies in teaching Business Education in Universities in Niger Delta,"OSF Okiridu, PC Ogwunte - Asian Journal of Education and social …, 2020 - researchgate.net",2020 - researchgate.net,,"… to enable Business Education Lecturers and Students have … higher learning Business 
Education should be delivered in the … It is against this background that the present study is carried …",https://www.researchgate.net/profile/Obulord-Okiridu/publication/338590379_Issues_and_Trends_in_the_Application_of_E-learning_Technologies_in_Teaching_Business_Education_in_Universities_in_Niger_Delta/links/5eda483c92851c9c5e81a2ce/Issues-and-Trends-in-the-Application-of-E-learning-Technologies-in-Teaching-Business-Education-in-Universities-in-Niger-Delta.pdf
[HTML][HTML] Twenty years of entrepreneurship education: a bibliometric analysis,"A Sreenivasan, M Suresh - Entrepreneurship Education, 2023 - Springer",2023 - Springer,,"… for institutions delivering entrepreneurship education and … highlighting it as a novel effect 
of entrepreneurship education… students’ entrepreneurship education and entrepreneurial …",https://link.springer.com/article/10.1007/s41959-023-00089-z
The state of entrepreneurship education in Portugal: an empirical study on a nascent system in the European Union policy framework,DT Redford - 2008 - search.proquest.com,DT Redford - 2008 - search.proquest.com,,"… Thus, access to entrepreneurship education for all students … that would provide support for 
this sort of reform effort. … documentation, it was decided that entrepreneurship education would …",https://search.proquest.com/openview/71b905693af27922389daf4cda9ddf7a/1?pq-origsite=gscholar&cbl=2026366
[BOOK][B] Entrepreneurship Education in Non-Business Schools: Best practice for Australian contexts of knowledge and innovation communities,C Collet - 2011 - eprints.qut.edu.au,C Collet - 2011 - eprints.qut.edu.au,,"… It would seem that we are witnessing a collision between the age-old problems of delivering 
efficacious and successful entrepreneurship … ’s program, personnel and students. Each also …",https://eprints.qut.edu.au/72841/
GBSN's perspective on business education and globalization,"G Pfeffermann - Journal of Management Development, 2016 - emerald.com",2016 - emerald.com,,"… 100 students or more per lecturer, which, in my experience, makes it virtually impossible to 
deliver high-quality education. … country business schools, very few graduate students who can …",https://www.emerald.com/insight/content/doi/10.1108/JMD-11-2014-0151/full/html
Mobile ICT and Education Delivery,"NK Annan, GO Ofori-Dwumfou… - The African Mobile Story, 2022 - taylorfrancis.com",2022 - taylorfrancis.com,,"… is to provide educational applications and electronic resources to serve about 3,000 students 
in the University of Ghana Business School. To train an average of 200 students per year …",https://www.taylorfrancis.com/chapters/edit/10.1201/9781003339694-7/mobile-ict-education-delivery-nana-kofi-annan-george-orleans-ofori-dwumfou-benjamin-kwofie
[PDF][PDF] Establishing Methods of Entrepreneurship Education in Nurturing New Entrepreneurs: Exploring entrepreneurial practices,"A Murray, R Crammond, K Omeihe… - … of Higher Education …, 2018 - aura.abdn.ac.uk",2018 - aura.abdn.ac.uk,,"… how it nurtures student entrepreneurial attitudes. Although … , delivery, and support are 
intertwined and driven by the … As this paper aims to assert entrepreneurial practices, it involved a …",https://aura.abdn.ac.uk/bitstream/handle/2164/15983/Murray_et_al_JHESM_EstablishingSuccesfulMethods_VoR.pdf?sequence=1
STATUS AND MANAGEMENT OF RESOURCES FOR EFFECTIVE INSTRUCTIONAL DELIVERY OF BUSINESS EDUCATION PROGRAMME IN TERTIARY …,"EG Nwokocha, CA Onwuchekwa - … Journal of Business Education  …, 2021 - nigjbed.com.ng",2021 - nigjbed.com.ng,,"… It was revealed from the study that majority of the lecturers teaching business education … 
is to be meaningful and useful to the learners, then there should be resources which should be …",http://www.nigjbed.com.ng/index.php/nigjbed/article/view/515
Planned approaches to business and school partnerships. Does it make a difference? The business perspective,"K Lee, J Hope, F Abdulghani - Evaluation and Program Planning, 2016 - Elsevier",2016 - Elsevier,,"… restricted to student work-placements. Although this form of … As a way of setting the scene 
this section will initially provide … of and research into enterprise education, entrepreneurship, …",https://www.sciencedirect.com/science/article/pii/S014971891500124X
Developing entrepreneurial intentions in emerging markets: a comprehensive review of educational factors,"Z Abdallah, MHA Khasawneh… - … of Innovation and …, 2023 - inderscienceonline.com",2023 - inderscienceonline.com,,"… of entrepreneurship education on graduates’ entrepreneurial intentions in emerging markets. 
It examines the effect of student, … to provide new aspects of the entrepreneurial education …",https://www.inderscienceonline.com/doi/pdf/10.1504/IJIL.2023.128873
Entrepreneurship Education and Learning for Full Employment,"RA Irmiya, KA Tiamiyu, SV Ayuba - KIU Journal of Humanities, 2019 - ijhumas.com",2019 - ijhumas.com,,"… It was on this basis that government was asked to provide conducive macroeconomic policy 
environment, robust entrepreneurship education, … provide students with entrepreneurship …",http://ijhumas.com/ojs/index.php/kiuhums/article/view/469
THE EFFECT OF ENTREPRENEURSHIP EDUCATION AND FAMILY ENTREPRENEURSHIP ON STUDENT ENTREPRENEURSHIP INTENTION,"MK Mawardi, RAM Sahputri - Jurnal Aplikasi Manajemen, 2022 - jurnaljam.ub.ac.id",2022 - jurnaljam.ub.ac.id,,"… We argue that if entrepreneurship education is supported with personal experience in 
entrepreneurship, it will have a more significant effect on entrepreneurial intentions. According to …",https://jurnaljam.ub.ac.id/index.php/jam/article/view/2744
[PDF][PDF] Assessment of the status of Teaching and Learning of Entrepreneurship Education in Universities in Rivers State,"WA Amaewhule, N Wechie - 2021 - seahipaj.org",N Wechie - 2021 - seahipaj.org,,"… business education emphasize less on theory delivery than practical … Entrepreneurship 
Education curriculum is relevant once it … , Entrepreneurship Education seeks to provide students (…",https://seahipaj.org/journals-ci/sept-2021/IJIER/full/IJIER-S-21-2021.pdf
[PDF][PDF] Entrepreneurship education for library and information science professionals in Nigeria: a critical review,"CE Ogar, WO Nkanu, EBE Eyo - … -disciplinary Journal of …, 2014 - globalacademicgroup.com",2014 - globalacademicgroup.com,,"… countries provide such entrepreneurship education for life-long trade to the students as well 
… is termed business because it is an organized activity-based practices, directed at providing …",http://globalacademicgroup.com/journals/nard/ENTREPRENEURSHIP%20EDUCATION%20FOR%20LIBRARY%20AND%20INFORMATION.pdf
The changing nature of enterprise: Addressing the challenge of Vesper and Gartner,"C Jones, K Penaluna, A Penaluna… - … and higher education, 2018 - journals.sagepub.com",2018 - journals.sagepub.com,,"… propositions about entrepreneurship education and enterprise education. We believe that 
it is … by the presence of specific entrepreneurship and enterprise zones, the delivery of pure …",https://journals.sagepub.com/doi/pdf/10.1177/0950422218804075
Research in online and blended learning in the business disciplines: Key findings and possible future directions,"JB Arbaugh, MR Godfrey, M Johnson… - … and Higher Education, 2009 - Elsevier",2009 - Elsevier,,"… delivering business education online, one study of an undergraduate course in statistics 
and economics found that students … , it is not surprising that we see studies from IS education …",https://www.sciencedirect.com/science/article/pii/S1096751609000268
[HTML][HTML] Experiential Approaches: effective Pedagogy “for” Entrepreneurship in Entrepreneurship Education,"J Malywanga, Y Shi, X Yang - Open Journal of Social Sciences, 2020 - scirp.org",2020 - scirp.org,,"… pedagogy “for” Entrepreneurship education and it’s an … between learners, and exposing 
students to real entrepreneurial … , basically a stand-and-deliver approach’ hinder the outcome …",https://www.scirp.org/html/24-1763115_98620.htm
The QUT Innovation space: A trans-disciplinary learning environment for entrepreneurship education [Final Report 2014],"C Collet, J Roberts - 2014 - eprints.qut.edu.au",J Roberts - 2014 - eprints.qut.edu.au,,"… and it would not have had the life that it did without them. … ) was an experiment aimed at 
delivering entrepreneurship education (EE), … students of an Australian higher education institute. …",https://eprints.qut.edu.au/72840/
Training Needs in Business Teacher Preparation for Implementing the New Senior Secondary School Business Subjects Curriculum,"VU Ikegwuani - Nigerian Journal of Business Education (NIGJBED), 2019 - nigjbed.com.ng",2019 - nigjbed.com.ng,,"… All tertiary institutions offering business education should have ICT facilities to train. Learning 
… to deliver lessons by allowing students practice with teacher as business education should …",http://nigjbed.com.ng/index.php/nigjbed/article/view/331
